The Legend of Zelda: Breath of the Wild,"50.5","98","193","92.5"
Grand Theft Auto V,"32","50","84.5","44.5"
The Witcher 3: Wild Hunt,"51.5","103","173","103"
Red Dead Redemption II,"50.5","82.5","186","77.5"
Elden Ring,"59.5","100","132","105"
Assassin's Creed II,"19","26","35.5","26"
Marvel's Spider-Man,"17","25.5","35","27"
Marvel's Spider-Man: Miles Morales,"7.5","12.5","18.5","13"
Far Cry 3,"16","25.5","37","24"
The Elder Scrolls V: Skyrim,"34.5","109","232","113"
Assassin's Creed IV: Black Flag,"23.5","41","61","39.5"
Ghost of Tsushima,"25","46","61.5","50.5"
Horizon Zero Dawn - Complete Edition,"29.5","52.5","76","54.5"
Assassin's Creed Odyssey,"45.5","84.5","143","94"
Middle-Earth: Shadow of Mordor,"15.5","24","32.5","24"
Fallout 4,"27","81.5","159","79"
Red Dead Redemption,"18","26.5","46","24.5"
Assassin's Creed: Revelations,"12.5","20.5","34.5","19"
Fallout: New Vegas,"27","59.5","131","57"
The Legend of Zelda: Tears of the Kingdom,"59","116","240","112"
Metal Gear Solid V: The Phantom Pain,"45.5","81","163","80"
Far Cry 4,"17.5","31.5","46.5","31"
Horizon Zero Dawn,"22.5","43.5","61","46.5"
Hogwarts Legacy,"26.5","44","69","47"
Far Cry 5,"18","30.5","46.5","29"
Death Stranding,"40.5","60","113","57.5"
Saints Row: The Third,"15.5","27","45","26"
Watch Dogs,"19.5","33","62.5","28"
Final Fantasy XV,"28","53.5","95","50.5"
Marvel's Spider-Man: Game of the Year Edition,"18","29.5","44","32.5"
The Elder Scrolls V: Skyrim - Special Edition,"26","114","206","117"
Dying Light,"18","36","61","30.5"
Mafia: Definitive Edition,"10.5","13","25","12"
The Legend of Zelda: Ocarina of Time 3D,"25","31.5","38","30.5"
The Witcher 3: Wild Hunt - Game of the Year Edition,"56","125","189","131"
Assassin's Creed: Syndicate,"19","33.5","55","33.5"
Outer Wilds,"17","22","27.5","21.5"
The Legend of Zelda: A Link to the Past,"15","17","17.5","16.5"
Shadow of the Colossus,"7","9.5","26.5","8.5"
Watch Dogs 2,"19","31.5","46.5","29.5"
Marvel's Spider-Man 2,"17","23.5","28","25.5"
Horizon Forbidden West,"28","61.5","88.5","64"
Days Gone,"36.5","50.5","65","51"
Pokémon Scarlet and Violet,"32","48.5","85","48"
Fallout 3,"22.5","52","114","47"
Grand Theft Auto III,"15","20.5","38.5","19.5"
Assassin's Creed Valhalla,"61","97.5","146","104"
Sleeping Dogs: Definitive Edition,"14.5","23.5","41","24"
Far Cry 3: Blood Dragon,"4.5","7","9","6.5"
Subnautica,"30","43","53","42.5"
